budget,id,language,original_title,popularity,release_date,revenue,runtime,status,vote_average,vote_count
140000000,1726,en,Iron Man,120.725053,4/30/2008,585174222,126,Released,7.4,8776
170000000,44826,en,Hugo,32.319043,11/22/2011,185770160,126,Released,7,2141
170000000,8487,en,Wild Wild West,40.748915,6/29/1999,222104681,106,Released,5.1,1020
145000000,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,7/1/2008,401128639,112,Released,5.2,1387
175000000,297761,en,Suicide Squad,90.23792,8/2/2016,745000000,123,Released,5.9,7458
175000000,2698,en,Evan Almighty,27.082182,6/9/2007,173000000,96,Released,5.3,1151
178000000,137113,en,Edge of Tomorrow,79.456485,5/27/2014,370541256,113,Released,7.6,4858
175000000,9804,en,Waterworld,44.640292,7/28/1995,264218220,135,Released,5.9,992
175000000,14869,en,G.I. Joe: The Rise of Cobra,32.852443,8/4/2009,302469017,118,Released,5.6,1962
175000000,150540,en,Inside Out,128.655964,6/9/2015,857611174,94,Released,8,6560
175000000,278927,en,The Jungle Book,94.199316,4/7/2016,966550600,106,Released,6.7,2892
200000000,10138,en,Iron Man 2,77.300194,4/28/2010,623933331,124,Released,6.6,6849
170000000,58595,en,Snow White and the Huntsman,77.178973,5/30/2012,396600000,127,Released,5.8,3118
180000000,102651,en,Maleficent,110.620647,5/28/2014,758539785,97,Released,7,4496
170000000,119450,en,Dawn of the Planet of the Apes,243.791743,6/26/2014,710644566,130,Released,7.3,4410
27000000,79698,en,The Lovers,2.418535,2/13/2015,0,109,Released,4.8,34
175000000,64686,en,47 Ronin,41.796339,12/6/2013,150962475,119,Released,5.9,1326
170000000,100402,en,Captain America: The Winter Soldier,72.225265,3/20/2014,714766572,136,Released,7.6,5764
165000000,10192,en,Shrek Forever After,44.041186,5/16/2010,752600867,93,Released,6,1959
190000000,158852,en,Tomorrowland,130.311355,5/19/2015,209154322,130,Released,6.2,2846
165000000,177572,en,Big Hero 6,203.73459,10/24/2014,652105443,102,Released,7.8,6135
165000000,82690,en,Wreck-It Ralph,62.341073,11/1/2012,471222889,108,Released,7.1,4570
165000000,5255,en,The Polar Express,47.323228,11/10/2004,305875730,100,Released,6.4,1474
165000000,47933,en,Independence Day: Resurgence,48.775723,6/22/2016,389681935,120,Released,4.9,2491
165000000,10191,en,How to Train Your Dragon,67.263269,3/5/2010,494878759,98,Released,7.5,4227
200000000,296,en,Terminator 3: Rise of the Machines,69.405188,7/2/2003,435000000,109,Released,5.9,2143
170000000,118340,en,Guardians of the Galaxy,481.098624,7/30/2014,773328629,121,Released,7.9,9742
165000000,157336,en,Interstellar,724.247784,11/5/2014,675120017,169,Released,8.1,10867
160000000,27205,en,Inception,167.58371,7/14/2010,825532764,148,Released,8.1,13752
15000000,315011,ja,collateral,9.476999,7/29/2016,77000000,120,Released,6.5,143
250000000,49051,en,The Hobbit: An Unexpected Journey,108.849621,11/26/2012,1021103568,169,Released,7,8297
